simulation_id,sim_type,roster,agent,w,eps,c,convergence_round
6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 2,10,0.005,3,20
6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 2,10,0.01,3,17
6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 2,10,0.02,3,16
6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 2,20,0.005,5,28
6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 2,20,0.01,5,27
6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 2,20,0.02,5,25
6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 2,30,0.005,7,
6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 2,30,0.01,7,36
6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 2,30,0.02,7,35
6,2v2,Random | Random | Leader Copier | Frequency Copier,Leader Copier,10,0.005,3,21
6,2v2,Random | Random | Leader Copier | Frequency Copier,Leader Copier,10,0.01,3,20
6,2v2,Random | Random | Leader Copier | Frequency Copier,Leader Copier,10,0.02,3,18
6,2v2,Random | Random | Leader Copier | Frequency Copier,Leader Copier,20,0.005,5,
6,2v2,Random | Random | Leader Copier | Frequency Copier,Leader Copier,20,0.01,5,28
6,2v2,Random | Random | Leader Copier | Frequency Copier,Leader Copier,20,0.02,5,27
6,2v2,Random | Random | Leader Copier | Frequency Copier,Leader Copier,30,0.005,7,
6,2v2,Random | Random | Leader Copier | Frequency Copier,Leader Copier,30,0.01,7,
6,2v2,Random | Random | Leader Copier | Frequency Copier,Leader Copier,30,0.02,7,36
6,2v2,Random | Random | Leader Copier | Frequency Copier,Frequency Copier,10,0.005,3,20
6,2v2,Random | Random | Leader Copier | Frequency Copier,Frequency Copier,10,0.01,3,15
6,2v2,Random | Random | Leader Copier | Frequency Copier,Frequency Copier,10,0.02,3,14
6,2v2,Random | Random | Leader Copier | Frequency Copier,Frequency Copier,20,0.005,5,30
6,2v2,Random | Random | Leader Copier | Frequency Copier,Frequency Copier,20,0.01,5,27
6,2v2,Random | Random | Leader Copier | Frequency Copier,Frequency Copier,20,0.02,5,24
6,2v2,Random | Random | Leader Copier | Frequency Copier,Frequency Copier,30,0.005,7,44
6,2v2,Random | Random | Leader Copier | Frequency Copier,Frequency Copier,30,0.01,7,37
6,2v2,Random | Random | Leader Copier | Frequency Copier,Frequency Copier,30,0.02,7,34
7,2v2,Random | Random | Leader Copier | Anti Copier,Random 1,10,0.005,3,21
7,2v2,Random | Random | Leader Copier | Anti Copier,Random 1,10,0.01,3,19
7,2v2,Random | Random | Leader Copier | Anti Copier,Random 1,10,0.02,3,17
7,2v2,Random | Random | Leader Copier | Anti Copier,Random 1,20,0.005,5,31
7,2v2,Random | Random | Leader Copier | Anti Copier,Random 1,20,0.01,5,29
7,2v2,Random | Random | Leader Copier | Anti Copier,Random 1,20,0.02,5,27
7,2v2,Random | Random | Leader Copier | Anti Copier,Random 1,30,0.005,7,41
7,2v2,Random | Random | Leader Copier | Anti Copier,Random 1,30,0.01,7,39
7,2v2,Random | Random | Leader Copier | Anti Copier,Random 1,30,0.02,7,37
7,2v2,Random | Random | Leader Copier | Anti Copier,Random 2,10,0.005,3,23
7,2v2,Random | Random | Leader Copier | Anti Copier,Random 2,10,0.01,3,20
7,2v2,Random | Random | Leader Copier | Anti Copier,Random 2,10,0.02,3,17
7,2v2,Random | Random | Leader Copier | Anti Copier,Random 2,20,0.005,5,34
7,2v2,Random | Random | Leader Copier | Anti Copier,Random 2,20,0.01,5,30
7,2v2,Random | Random | Leader Copier | Anti Copier,Random 2,20,0.02,5,27
7,2v2,Random | Random | Leader Copier | Anti Copier,Random 2,30,0.005,7,44
7,2v2,Random | Random | Leader Copier | Anti Copier,Random 2,30,0.01,7,41
7,2v2,Random | Random | Leader Copier | Anti Copier,Random 2,30,0.02,7,37
7,2v2,Random | Random | Leader Copier | Anti Copier,Leader Copier,10,0.005,3,62
7,2v2,Random | Random | Leader Copier | Anti Copier,Leader Copier,10,0.01,3,45
7,2v2,Random | Random | Leader Copier | Anti Copier,Leader Copier,10,0.02,3,32
7,2v2,Random | Random | Leader Copier | Anti Copier,Leader Copier,20,0.005,5,87
7,2v2,Random | Random | Leader Copier | Anti Copier,Leader Copier,20,0.01,5,67
7,2v2,Random | Random | Leader Copier | Anti Copier,Leader Copier,20,0.02,5,51
7,2v2,Random | Random | Leader Copier | Anti Copier,Leader Copier,30,0.005,7,
7,2v2,Random | Random | Leader Copier | Anti Copier,Leader Copier,30,0.01,7,85
7,2v2,Random | Random | Leader Copier | Anti Copier,Leader Copier,30,0.02,7,66
7,2v2,Random | Random | Leader Copier | Anti Copier,Anti Copier,10,0.005,3,45
7,2v2,Random | Random | Leader Copier | Anti Copier,Anti Copier,10,0.01,3,35
7,2v2,Random | Random | Leader Copier | Anti Copier,Anti Copier,10,0.02,3,27
7,2v2,Random | Random | Leader Copier | Anti Copier,Anti Copier,20,0.005,5,71
7,2v2,Random | Random | Leader Copier | Anti Copier,Anti Copier,20,0.01,5,52
7,2v2,Random | Random | Leader Copier | Anti Copier,Anti Copier,20,0.02,5,41
7,2v2,Random | Random | Leader Copier | Anti Copier,Anti Copier,30,0.005,7,87
7,2v2,Random | Random | Leader Copier | Anti Copier,Anti Copier,30,0.01,7,68
7,2v2,Random | Random | Leader Copier | Anti Copier,Anti Copier,30,0.02,7,54
8,2v2,Random | Random | Self Copier | Frequency Copier,Random 1,10,0.005,3,33
8,2v2,Random | Random | Self Copier | Frequency Copier,Random 1,10,0.01,3,24
8,2v2,Random | Random | Self Copier | Frequency Copier,Random 1,10,0.02,3,18
8,2v2,Random | Random | Self Copier | Frequency Copier,Random 1,20,0.005,5,48
8,2v2,Random | Random | Self Copier | Frequency Copier,Random 1,20,0.01,5,38
8,2v2,Random | Random | Self Copier | Frequency Copier,Random 1,20,0.02,5,31
8,2v2,Random | Random | Self Copier | Frequency Copier,Random 1,30,0.005,7,63
8,2v2,Random | Random | Self Copier | Frequency Copier,Random 1,30,0.01,7,52
8,2v2,Random | Random | Self Copier | Frequency Copier,Random 1,30,0.02,7,42
8,2v2,Random | Random | Self Copier | Frequency Copier,Random 2,10,0.005,3,32
8,2v2,Random | Random | Self Copier | Frequency Copier,Random 2,10,0.01,3,24
8,2v2,Random | Random | Self Copier | Frequency Copier,Random 2,10,0.02,3,20
8,2v2,Random | Random | Self Copier | Frequency Copier,Random 2,20,0.005,5,48
8,2v2,Random | Random | Self Copier | Frequency Copier,Random 2,20,0.01,5,38
8,2v2,Random | Random | Self Copier | Frequency Copier,Random 2,20,0.02,5,32
8,2v2,Random | Random | Self Copier | Frequency Copier,Random 2,30,0.005,7,63
8,2v2,Random | Random | Self Copier | Frequency Copier,Random 2,30,0.01,7,50
8,2v2,Random | Random | Self Copier | Frequency Copier,Random 2,30,0.02,7,43
8,2v2,Random | Random | Self Copier | Frequency Copier,Self Copier,10,0.005,3,27
8,2v2,Random | Random | Self Copier | Frequency Copier,Self Copier,10,0.01,3,21
8,2v2,Random | Random | Self Copier | Frequency Copier,Self Copier,10,0.02,3,13
