ruleset,simulation_id,sim_type,roster,agent,w,eps,c,convergence_round
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Self Copier,20,0.005,5,37
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Self Copier,20,0.01,5,34
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Self Copier,20,0.02,5,30
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Self Copier,30,0.005,7,46
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Self Copier,30,0.01,7,43
baseline,5,2v2,Random | Random | Leader Copier | Self Copier,Self Copier,30,0.02,7,40
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 1,10,0.005,3,19
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 1,10,0.01,3,17
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 1,10,0.02,3,15
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 1,20,0.005,5,88
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 1,20,0.01,5,26
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 1,20,0.02,5,25
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 1,30,0.005,7,
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 1,30,0.01,7,35
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 1,30,0.02,7,34
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 2,10,0.005,3,20
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 2,10,0.01,3,17
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 2,10,0.02,3,16
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 2,20,0.005,5,28
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 2,20,0.01,5,27
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 2,20,0.02,5,25
baseline,6,2v2,Random | Random | Leader Copier | Frequency Copier,Random 2,30,0.005,7,
